row_id,english_question,bangla_question
4600,"As shown in the figure, the circle \(⊙O\) with a radius of \(4\) is tangent to the edge \(AC\) of the right triangle \(ABC\) containing a \(30^{\circ}\) angle at point \(A\). The right triangle is translated to the left along the line of edge \(CA\) until edge \(AB\) is tangent to the circle \(⊙O\). The distance the right triangle is translated is \((\) \()\).
A. \(2\)
B. \(2 \sqrt {3}\)
C. \(4\)
D. \(4 \sqrt {3}\)",
4601,"As shown in the figure, there are \(6\) triangles on a square grid: \(①\triangle ABC\), \(②\triangle CDB\), \(③\triangle DEB\), \(④\triangle FBG\), \(⑤\triangle HGF\), \(⑥\triangle EKF\). Among triangles \(②~⑥\), the number of triangles similar to \(①\) is ______.",
4602,"In the figure, the alternate interior angle of ∠1 is ( )
A. ∠2
B. ∠3
C. ∠4
D. ∠5",
4603,"In the figure, at point A on the east side of the small hill, there is a hot air balloon flying at a speed of 28 meters per minute at an angle of 30° to the vertical. After half an hour, it reaches point C. At this time, the person in the balloon notices a fire point B directly west of point A. After 5 minutes, the angle of depression to fire point B measured at point D is 15°. Find the distance between the launch point A of the hot air balloon and the fire point B. (Results should retain the square root. Reference data: \( \sin 15°= \frac{\sqrt{6}-\sqrt{2}}{4} \), \( \cos 15°= \frac{\sqrt{6}+\sqrt{2}}{4} \), \( \tan 15°=2-\sqrt{3} \), \( \cot 15°=2+\sqrt{3} \))",
4604,"In the figure, A is a rectangular strip of paper, ∠DEF = 25°. The strip is folded along EF to form figure B, and then folded along BF to form figure C. What is the measure of ∠CFE in degrees?",
4605,"In the mathematics interest group of Class 3 (1), using an inclinometer with a height of 1.2 meters and a measuring tape to measure the height AB of an office building on campus, the measurement scheme is designed as shown in the figure (measurement points E and F are on the same vertical line as the base B of the building), and four students measured the following four sets of data (angle degrees, segment lengths): ①∠2, FB; ②∠1, ∠2, EF; ③∠2, EF; ④∠1, EB. Based on the measured data, how many sets can be used to calculate the height AB?",
4606,"In the figure, A is a rectangular strip of paper, ∠DEF=25°. The strip is folded along EF to form figure B, and then folded along BF to form figure C. What is the measure of ∠CFE in degrees?",
4607,"In the figure, chord AB intersects CD at point E inside circle O. A line parallel to BC through E intersects the extension of AD at point P. Given that PD = 2DA = 2, find PE.",
4608,"In the figure (2015 Autumn Jiangyin City Monthly Exam), the side length of square ABCD is 6, point E is a point on AB. Triangle BCE is folded along CE to triangle FCE. If CF and CE are tangent to circle O centered at the center of square ABCD, then the crease CE = ?",
4609,"The three views of a geometric body are shown in the figure. What is the volume of this geometric body? \(({  })\)
A. \(64{-}\dfrac{2}{3}\pi\)
B. \(64{-}2\pi\)
C. \(64{-}4\pi\)
D. \(64{-}8\pi\)",
4610,"As shown in the figure, AB is the diameter of a semicircle, O is the center of the circle, $ \overparen {AC} = \overparen {CD} = \overparen {DB} $, M is the midpoint of CD, H is the midpoint of chord CD, and N is a point on OB. The area of the semicircle is 12 square centimeters. What is the area of the shaded part in the figure?",
4611,"In the figure, ∠1 and ∠2 are ( )
A. Same-side interior angles
B. Alternate interior angles
Corresponding angles
D. None of the above",
4612,"As shown in the figure, given that the area of square ABCD is 8 square centimeters, the area of square EFGH is 62 square centimeters, BC lies on EH, and the area of triangle ACG is 4.9 square centimeters, what is the area of triangle ABE ( )?
A. 0.5 square centimeters
B. 2 square centimeters
C. $\sqrt{2}$ square centimeters
D. 0.9 square centimeters",
4613,"In the cube ABCD-A1B1C1D1, point P is the trisection point of the diagonal BD1. What are the different distances from P to each vertex?
A. 3
B. 4
C. 5
D. 6",
4614,"In the trapezoidal rice field, there is a small river. As shown in the figure, what is the area of the rice field in square meters?",
4615,Calculate the surface area of the cylinder (unit: cm).,
4616,"The figure shows a rectangular piece of iron sheet (each square grid represents 1 square decimeter). By cutting out the shaded part in the figure, a cylinder can be formed. What is the volume of this cylinder?",
4617,"Given the figure, the center of the ellipse is at the origin, and the eccentricity is $ e = \frac{1}{2} $. F is the left focus of the ellipse, and the line AB intersects FC at point D. What is the value of $ \tan(\angle BDC) $?",
4618,"Given the following four car logo patterns, which of them are axisymmetric figures?
A. 1
B. 2
C. 3
D. 4",
4619,"In triangle ABC, PQ is parallel to BC. If the area of triangle APQ is 3 and the area of triangle PQB is 6, then the area of triangle CQB is ( )
A. 10
B. 16
C. 6
D. 18",
4620,"Some cubes with a side length of 1 are placed on a 3 \times 3 plane (as shown in Figure 1), with their front view and side view shown in Figures 2 and 3 respectively. Let the maximum number of cubes placed be m and the minimum be n. Then m-n = ( )
A. 4
B. 5
C. 6
D. 7",
4621,"In the figure, a 30-meter long banner is hung from point A to point E on building A. From point D at the top of building B, the angle of elevation to point A is 45°, and the angle of depression to point E is 30°. Find the horizontal distance BC between the buildings.",
4622,"In the figure, \(AB\) is an escalator with a length of \(10m\) and an incline angle of \(37^{\circ}\). The platform \(BD\) is vertical to the building \(CE\) and has the same length as the escalator \(AB\). At point \(B\), the angle of elevation to the top of the building \(C\) is \(65^{\circ}\). 
 Find the height of the building \(CE\) (result rounded to the nearest integer). Reference data: \(\sin 37^{\circ}≈\dfrac{3}{5}\), \(\tan 37^{\circ}≈\dfrac{3}{4}\), \(\sin 65^{\circ}≈\dfrac{9}{10}\), \(\tan 65^{\circ}≈\dfrac{15}{7}\).",
4623,"A die starts at position 3C on a 5x5 grid. After rolling from 3C to 3B (as shown in Figure 2), then from 3B to 2B (as shown in Figure 3), what number is facing up after rolling from 2B to 2A?",
