row_id,english_question,bangla_question
1400,"In the flowchart of the program, for any input of $x(0\leq x\leq 1)$ and $y(0\leq y\leq 1)$, the probability of outputting the pair $(x,y)$ is ( )
A. $\frac{1}{8}$
B. $\frac{3}{8}$
C. $\frac{7}{8}$
D. $\textstyle{\frac{1}{4}}",
1401,"As shown in the figure, the side CD of square ABCD is on the side CE of square ECGF, O is the midpoint of EG, the angle bisector GH of ∠EGC passes through point D and intersects BE at point H. Connect OH, FH, and EG intersects FH at point M. For the following four conclusions: ① GH ⊥ BE; ② BG = EG; ③ △MFG is an isosceles triangle; ④ DE: AB = 1 + \sqrt{2}, the correct conclusion numbers are ______.",
1402,"If the three views of a certain spatial geometric body are as shown in the figure, then the volume of this geometric body is ( )
A. \frac{1}{3}
B. \frac{2}{3}
C. 1
D. 2",
1403,"A geometric solid's three views are shown in the figure. The front view and the left view are two congruent isosceles right triangles with a leg length of 4. If all vertices of this geometric solid lie on the same sphere, what is the surface area of that sphere?",
1404,"In the figure, AB ∥ CD and CE ⊥ BD. How many angles are complementary to ∠1?",
1405,How many axisymmetric figures are there among the following 5 plane figures?,
1406,The area of the shaded part in the figure is equal to.,
1407,"In the middle of the teacup, there is a decorative band that Xiaofang specially attached to prevent her mother from getting burned. The width of the decorative band is one-third of the entire height of the cup. What is the area of this decorative band in square centimeters? (Ignore the joint part)",
1408,"In triangle ABC, points D and E lie on AB and AC respectively. Given that DE is not parallel to BC, find the value of AB such that triangles ABC and ADE are similar, expressed in terms of AE, AD, and AC.",
1409,"In the square ABCD, point P is any point on side BC. A square APMN is constructed with AP as a side, and F is the center of square APMN. Connect BF and directly write the relationship between BF and CP______.",
1410,"Given the three views of a triangular pyramid as shown in the figure, where the top view is an isosceles triangle with a vertex angle of 120°, what is the volume of the circumscribed sphere of this pyramid?",
1411,"In obtuse triangle $ \triangle ABC $, isosceles right triangles $ \triangle ABE $ and $ \triangle ACF $ are constructed outwardly on sides $ AB $ and $ AC $ respectively. Segment $ EM $ bisects $ \angle AEB $ and intersects $ AB $ at point $ M $. Let $ D $ be the midpoint of $ BC $ and $ N $ be the midpoint of $ AC $. Connect $ DN, DE, DF $. Determine how many of the following conclusions are correct: ① $ EM = DN $; ② $ S_{\triangle CDN} = \frac{1}{3} S_{ABDN} $; ③ $ DE = DF $; ④ $ DE \perp DF $.",
1412,"There are some instant noodles of a certain brand displayed on the shelf of the school store, and their three views are shown in the figure. What is the minimum number of instant noodle boxes on the shelf?
A. 7 boxes
B. 8 boxes
C. 9 boxes
D. 10 boxes",
1413,A net of a cube is shown in the figure. The cube that can be formed from it is ( ),
1414,"As shown in the figure, the length of the rectangular prism is 12 cm, the height is 8 cm, and the sum of the areas of the two shaded faces is 200 cm². What is the area of the top and bottom faces of this rectangular prism in square centimeters?",
1415,"A geometric solid's front view, side view, and top view are shown in the figure. What is the volume of this geometric solid?",
1416,"On July 12, 2012, during the London Olympics, a flag-raising ceremony was held. As shown in the figure, on a viewing platform with a slope of \(15^{\circ}\), a row of seats located on line \(AB\) is coplanar with the line \(MN\) where the flagpole is located. The angles of elevation to the top of the flagpole \(N\) from the first seat \(A\) and the last seat \(B\) in that row are \(60^{\circ}\) and \(30^{\circ}\), respectively, and the distance between seats \(A\) and \(B\) is \(10 \sqrt{6}\) meters. What is the height of the flagpole in meters?",
1417,"According to the numbers displayed in the three different states of the dice shown in the image, please deduce what the number at the '?' position should be.",
