row_id,english_question,bangla_question
4800,"The three views of a certain geometric body are shown in the figure, what is the volume of this geometric body ( )
A. \( \frac{4}{3} \)
B. \( \frac{5}{2} \)
C. \( \frac{7}{3} \)
D. \( \frac{5}{3} \)",
4801,Which of the two options has a larger perimeter? (Fill in the blank with the letter representing the figure),
4802,"In the Cartesian coordinate system, right triangle ABC is located in the first quadrant, with legs AC and AB parallel to the x-axis and y-axis respectively. Point A has coordinates (1, 1), AB = 2, and AC = 3. An inverse proportional function y = n/x (x > 0) is horizontally translated along the x-axis. Find the range of values for n such that the function intersects triangle ABC.",
4803,"In the figure, two concentric circles with center O have radii of 5 and 3, respectively. The chord AB of the larger circle intersects the smaller circle at points C and D. What is the range of values for the chord AB?",
4804,A cube has a sphere tangent to all its faces. A plane passes through edges DD₁ and BB₁. Which of the following sectional views correctly represents the intersection of this plane with the cube and sphere?,
4805,"Triangle ABC has vertices at grid points on a coordinate plane with unit squares. After reflecting triangle ABC across the y-axis to form triangle DEF, find the area of triangle DEF.",
4806,"In the four figures, the line segment \(BE\) is the altitude of \(\triangle ABC\). Which figure is it?
A. Figure \((1)\)
B. Figure \((2)\)
C. Figure \((3)\)
D. Figure \((4)\)",
4807,"As shown in the figure, in rectangle ABCD, AD = 8 cm, AB = 6 cm, points E and F are the midpoints of AD and AB respectively, and BE and DF intersect at G. What is the area of the shaded part in square centimeters?",
4808,"In the figure, point O is the center of the regular hexagon ABCDEF. Let \( \overrightarrow{OD} = \overrightarrow{m} \) and \( \overrightarrow{OF} = \overrightarrow{n} \). Then \( \overrightarrow{OB} \) = (expressed in terms of vectors \( \overrightarrow{m} \) and \( \overrightarrow{n} \)).",
4809,"As shown in the figure, in which of the following four cubes, the line segment AB is perpendicular to the plane CDE (___)
Options:
(A) ①②
(B) ②④
(C) ①③
(D) ②③",
4810,"In the figure, the plane of the Cartesian coordinate system $x'oy$ is denoted as $\beta$, and the plane of the Cartesian coordinate system $xoy$ is denoted as $\alpha$. The dihedral angle between $\alpha$ and $\beta$ is $30^{\circ}$. Given that the equation of the curve $C'$ in the plane $\beta$ is $3(x - 2\sqrt{3})^{2} + 4y^{2} - 36 = 0$, what is the equation of the projection of the curve $C'$ in the plane $\alpha$?",
4811,"In rectangle ABCD, where AB=1 and AD=4, points E and F are the midpoints of sides AD and BC respectively. When the quadrilateral EFCD is folded along EF, and angle CEB is 90°, what is the cosine value of the dihedral angle C-EF-B?",
4812,"In the figure, triangles △ABC and △ADE are congruent. Given that ∠CAD = 10°, ∠B = 25°, and ∠EAB = 120°, find ∠AFB.
A. 90°
B. 95°
C. 100°
D. 110°",
4813,"Two types of square cards with a side length of 2 are shown in the figure. The radius of the sectors in the cards is also 2. The second figure shows a pattern formed by alternating the placement of type A and type B cards. If a total of 21 cards of these two types are used to create this pattern, what is the area of the shaded region in the pattern (keep the result in terms of π)?",
4814,"If the three views of a certain geometric body (unit: cm) are as shown in the figure, then the volume of this geometric body equals ______ cm³.",
4815,"As shown in the figure, AB is the diameter of circle O, $ \overrightarrow {AD} = \overrightarrow {DE} $, AB=10, BD=8, then cos∠BCE= ______ .",
4816,"In triangle ABC, point D is on the extension of BC, point E is on the extension of CA, and point F is on AB. What is the relationship between angle 1 and angle 2? ( )
A. ∠1 < ∠2
B. ∠1 = ∠2
C. ∠1 > ∠2
D. Uncertain",
4817,"As shown in the figure, a customs anti-smuggling boat received intelligence when patrolling to point A. At point B, which is 60° north of west from A, a suspicious vessel was found moving directly east. The superior ordered the suspicious vessel to be inspected, and the boat immediately proceeded at a speed of 48 nautical miles per hour in the direction of 45° north of west. After 1 hour of sailing, it intercepted the suspicious vessel at point C. Find the speed of the suspicious vessel. (Results should be rounded to the nearest integer, $\sqrt{6} \approx 2.449$, $\sqrt{3} \approx 1.732$, $\sqrt{2} \approx 1.414$.)",
4818,"As shown in the figure, a large rectangle is divided into 3 squares and 2 rectangles, and it remains a centrally symmetric figure. If the original perimeter of the large rectangle is 120, then the labels of the figures whose perimeters can be known without measurement are ( )
A. ①②
B. ②③
C. ①③
D. ①②③",
4819,"The following is a quiz question displayed on the projection screen, requiring an answer to the content represented by the symbols on the horizontal line.
A. ◎ represents ∠FEC
B. @ represents corresponding angles
C. ▲ represents ∠EFC
D. ※ represents AB
E.",
4820,"In a mathematics extracurricular activity, Xiao Cong measured the angle of elevation to the top of a flagpole (point B) from point A, which is 10 meters away from the flagpole. The angle of elevation is \(60^{\circ}\), and the height of the theodolite (point AD) is 1 meter. What is the height of the flagpole (BC) in meters? (Keep the result in terms of square roots)",
4821,"As shown in the figure, a rectangular piece of cardboard is folded in half, opened at an angle, and then stood upright on the plane ABCD. What is the relationship between the crease MN and the plane ABCD?",
4822,"The front view and left view of a geometric body made up of several small cubes of the same size are shown in the figure. The number of small cubes used to construct this geometric body cannot be ( )
A. 10
B. 9
C. 8
D. 7",
4823,"In the figure shown, all quadrilaterals are squares, and all triangles are right triangles. The side length of the largest square is 7 cm. What is the sum of the areas of all the squares ( ) cm²?
A. 28
B. 49
C. 98
D. 147",
4824,"In the Year of the Sheep, the character '羊' symbolizes beauty and auspiciousness. The following patterns are all related to the character '羊'. How many of these patterns are axis-symmetric shapes? ( )
A. 1
B. 2
C. 3
D. 4",
4825,"Given that lines AB and CD are parallel, which of the following angle relationships must hold?
A. ∠1 = ∠3
B. ∠2 = ∠4
C. ∠1 > ∠4
D. ∠3 + ∠5 = 180^{\circ}",
4826,"The figure on the right is the net of a cube. In this cube, which statement is correct? A. BM is parallel to ED B. CN and BE are skew lines C. CN forms a 60° angle with BM D. CM is perpendicular to BN",
4827,"In the figure, in two concentric circles with center O, the chord AB of the larger circle is tangent to the smaller circle at point C. Given that AB = 12 cm and AO = 8 cm, what is the length of OC ( ) cm?",
4828,"In the figure, ⊙O is the incircle of triangle ABC, with tangent points D, E, and F. Given that ∠A = 100° and ∠C = 30°, what is the degree measure of ∠DFE?
A. 55°
B. 60°
C. 65°
D. 70°",
4829,"In the figure, D is on line AB, E is on line AC, and ∠B = ∠C. After adding one of the following conditions, it is still impossible to determine whether △ABE ≌ △ACD:
AD=AE
AB=AC
BE=CD
∠AEB=∠ADC",
4830,"As shown in the figure, a maritime surveillance ship is sailing due west. At point A, it sees a fishing boat D working in the southwest direction at an angle of \(45^{\circ}\). When the surveillance ship reaches point B, it sees fishing boat D in the southeast direction at an angle of \(45^{\circ}\). After sailing for half an hour, it arrives at point C and sees fishing boat D in the southeast direction at an angle of \(60^{\circ}\). If the speed of the surveillance ship is \(50\) nautical miles per hour, what is the distance between points A and B in nautical miles? (Take \( \sqrt {3}≈1.7\), and round the result to \(0.1\) nautical miles).",
4831,"Given a rectangle with a length of 6 cm and a width of 4 cm, find the area of the shaded part in the figure.",
4832,"In the figure, the line $y=kx$ (where $k>0$) intersects the hyperbola $y= \frac{1}{x}$ at points A and B. Line BC is perpendicular to the x-axis at point C, and line AC intersects the y-axis at point D. The following conclusions are made: 1) Points A and B are symmetric with respect to the origin; 2) The area of triangle ABC is a constant value; 3) Point D is the midpoint of AC; 4) The area of triangle AOD is $\frac{1}{2}$. How many of the conclusions are correct?
A. 1
B. 2
C. 3
D. 4",
4833,"As shown in the figure, lines a and b are intersected by line c, then \( \angle 1 \) and \( \angle 2 \) are
A. Corresponding angles
B. Alternate interior angles
C. Same-side interior angles
D. Vertical angles",
4834,"(16) In the figure, triangle ABC is an inscribed equilateral triangle in circle O, with a radius of 3. What is the area of the shaded part in the figure?",
