row_id,english_question,bangla_question
4200,"In the given image (2015, Derong County third mock exam), if a right triangle is stacked as shown, what is the degree measure of angle \( \alpha \)?",
4201,The figure shown is the net of a cube. The character on the face opposite to the character represented by '奋' is ______.,
4202,The figure shows the three views of a certain workpiece. Find the total surface area of this workpiece.,
4203,"There is a square green space with a side length of 24 meters. Next to the green space at point B, there are fitness equipment. Due to the residents living at point A trampling the green space, Xiao Ming wants to set up a sign at point A that says ""Walk less ▇ meters, how could you trample it?"" Please calculate and help Xiao Ming fill in the appropriate number in place of ""▇"".",
4204,"In the figure, AD = BC. Add one condition so that △DAB ≅ △CBA.",
4205,The figure shows the three views of a factory sealed can. The area of steel plate required to make each sealed can is:,
4206,"As shown in the figure, there are 7 circles that are tangent at one point. If the radii of the circles (in decimeters) are: 1, 2, 3, 4, 5, 6, 7, what is the area of the shaded part in square meters? (Take π as 3)",
4207,"In the figure, the intersection of planes \( \alpha \) and \( \beta \) is \( PQ \), and \( EG \perp \) plane \( \alpha \), \( FH \perp \) plane \( \alpha \), with the feet of the perpendiculars being \( G \) and \( H \). To ensure that \( PQ \perp GH \), an additional condition needed is ( )
A. EF⊥plane α
B. EF⊥plane β
C. PQ⊥GE
D. PQ⊥FH",
4208,"In the figure, the radius of circle O is 17 cm, and the chords AB and CD are parallel, with AB = 30 cm and CD = 16 cm. The center O is located above AB and CD. Find the distance between AB and CD.",
4209,"BC is the hypotenuse of right triangle ABC, AP is perpendicular to plane ABC, and PD is perpendicular to BC at point D. How many right triangles are there in the figure? ( )
A. 8
B. 7
C. 6
D. 5",
4210,"In a square grid, the position of ∠α is shown in the figure. What is the value of tanα?",
4211,"Xiao Ming walks 500 meters from point A in a direction slightly east of north to reach point B. Xiao Hong walks 400√2 meters from point A in a southeast direction to reach point C. If point C is directly south of point B, find the distance between points B and C.",
4212,A rectangular prism has a small rectangular prism removed from it. The front (main) view and side (left) view are shown. What is the top view of this geometric figure?,
4213,"In the figure (2014•Quanzhou), line a is parallel to line b, and line c intersects both lines a and b. Given that ∠1 = 65°, what is the measure of ∠2?",
4214,"In the figure, there is a rectangular piece of paper ABCD, where AB = 10 and AD = 6. The paper is folded such that side AD lies on side AB, creating a crease at AE. Then, point D is folded to the right along crease DE. AE intersects BC at point F. What is the area of triangle CEF?
A. 4
B. 6
C. 8
D. 10",
4215,"In the figure, line AB and EF intersect at point O, OC bisects ∠AOB, ∠1 = 65°, find the measure of ∠3.",
4216,"In the figure, in rectangle ABCD, AB = 3 cm, BC = 4 cm. Along diagonal AC, triangle ABC is cut and moved to the position of triangle A1BC1, forming the shape of figure (2). If the area of the overlapping part is 3 cm², then the distance AA1 = cm.",
4217,"In the figure (2009 Beilun District Simulation), ABCD is a regular pentagon, point P is the midpoint of CD, and line BD intersects AC and AP at points M and N, respectively. Find the ratio \( \frac{MN}{BM} = ? \)",
4218,"Given that the vertex of the parabola C is O(0,0) and the focus is F(0,1), let a line passing through F intersect the parabola at points A and B. If lines AO and BO intersect the line l: y=x-2 at points M and N respectively, find the minimum value of |MN|.",
4219,"The figure shows the three views of a regular triangular prism. If the volume of the prism is $8 \sqrt{3}$, then $\alpha =$ ____________________.",
4220,"In the figure, AB is perpendicular to BC, with AB = BC = 2 cm. The arcs OA and OC are symmetric about point O. What is the area enclosed by AB, BC, arc CO, and arc OA in cm²?",
4221,"As shown in the figure: 
(1) Express the area of the shaded part using an algebraic expression; 
(2) When \(a=10\) and \(b=4\), find the area of the shaded part.",
4222,"Given the three views of a geometric body as shown in the figure, based on the dimensions marked in the figure (unit: cm), the volume of the geometric body is ( ).",
4223,"In the figure below, which pattern can be obtained by continuously rotating a basic pattern by 45°? (Fill in the number).",
4224,"As shown in the figure, there is a 5-meter long rope on the grass, one end tied to a wooden post at the corner of a wall, and the other end tied to a little sheep R. What is the area of the maximum activity zone of the sheep on the grass? ( )
A. $\frac { 1 3 } { 2 }$ πm<sup>2</sup>
B. $\frac { 2 7 } { 4 }$ πm<sup>2</sup>
C. $\frac { \sqrt { 1 3 } } { 2 }$ πm<sup>2</sup>
D. $\frac { \sqrt { 2 7 } } { 4 }$ πm<sup>2</sup>",
4225,"Calculate the area of the shaded part in the given figure, where the trapezoid has an upper base of 4 cm, a lower base of 6 cm, and a semicircle is inscribed such that its diameter equals the upper base.",
4226,"Given the three views of a certain geometric body as shown in the figure, what is the surface area of the inscribed sphere of this geometric body? ( ) 
A. \(\textstyle{\frac{2\pi}{3}}\)
B. \(\textstyle{\frac{4\pi}{3}}\)
C. 3π
D. 4π",
4227,"In the figure, line \(AB\) is parallel to line \(CD\), then \(∠C=\)__________\({\,\!}^{\circ}\)",
4228,"As shown in the figure, there are three conditions: ① AC = AB, ② AB ∥ CD, ③ ∠1 = ∠2. If we randomly choose any two as hypotheses and the other as conclusion, how many true propositions can be formed?",
4229,"The three views of the geometric body are shown in the figure, then the volume of the geometric body is ( )
A. \( \frac{53}{3} \pi \)
B. \( \frac{55}{3} \pi \)
C. \( 18 \pi \)
D. \( \frac{76}{3} \pi \)",
4230,"In 2011, in the Aydin Bay area, a naval ship of our navy was executing escort missions and was sailing from east to west. When it reached point B, it found lighthouse A directly north of the ship at a distance of 500 meters. When the ship sailed from point B directly west to point C, it found lighthouse A at a direction of 60° east of north. Calculate the distance traveled by the ship. (Do not approximate the calculation process and results)",
4231,"In the figure, the area of rectangle ABCD is 120 square centimeters, BE = 3AE, BF = 2FC. Find the area of quadrilateral EGBF.",
4232,"In the figure, the equilateral triangle $\Delta ABC$ is divided into 16 congruent smaller equilateral triangles. A number is placed at each vertex of these triangles such that the numbers at points that are collinear (when there are at least 3 numbers) form an arithmetic sequence. If the three numbers at vertices $A$, $B$, and $C$ are distinct and their sum is 1, then the sum of all the numbers at the vertices ${ \boldsymbol { \mathcal { S } } } =$ .",
4233,"As shown in the figure, four identical rectangular prisms are arranged to form a straight rectangular prism: each rectangular prism has a base that is a square with a side length of 1, and the length of the edge AB is 2. Points P<sub>i</sub> (i=1, 2, …) are the other eight points on the upper base. What is the number of different values of the product AB • AP<sub>i</sub> (i=1, 2, …)?
A. 1
B. 2
C. 4
D. 8",
4234,"The front (main) view and side (left) view of a certain part are as shown in the figure (the solid line forms a semicircle with a radius of 2 cm, and the dashed line represents the two sides of an isosceles triangle). The top view is a circle with a radius of 2 cm (including the center). What is the surface area of this part?
A. 4πcm²
B. 8πcm²
C. (4+2√5) πcm²
D. (8+2√5) πcm²",
4235,"Given that OA and OB are basis vectors, OC = 3OA, OD = 5OB, and lines AD and BC intersect at point P, find the decomposition of OP with respect to OA and OB.",
4236,"Given a cylinder with a base diameter \(BC= \dfrac {6}{\pi }\) and height \(AB=3\), a small bug crawls on the surface of the cylinder from point \(C\) to point \(A\), and then crawls back to point \(C\) along another surface. What is the shortest distance the bug crawls?
A. \(3 \sqrt {2}\)
B. \(3 \sqrt {5}\)
C. \(6 \sqrt {5}\)
D. \(6 \sqrt {2}\)",
4237,"(2009•Yunnan) The figure consists of six identical small cubes with a side length of 1. Which of the following statements about it is correct? ( )
A. The area of the front view is 6
B. The area of the left view is 2
C. The area of the top view is 5
D. The areas of all three views are 5",
4238,"As shown in the figure, given that points A, B, and C are not collinear, and P is a fixed point, O is any point outside the plane ABC, which of the following can represent the vector \( \vec{OP} \)?
\( \vec{OA} + 2\vec{AB} + 2\vec{AC} \)
\( \vec{OA} - 3\vec{AB} - 2\vec{AC} \)
\( \vec{OA} + 3\vec{AB} - 2\vec{AC} \)
D. \( \vec{OA} + 2\vec{AB} - 3\vec{AC} \)",
4239,"In the figure, AB is parallel to CD, and point E is on the extension of CB. If ∠ABE = 60°, what is the measure of ∠ECD? ( )
A. 120°
B. 100°
C. 60°
D. 20°",
4240,"In the Cartesian coordinate system, point \(O\) is the origin. The diagonals of the parallelogram \(ABOC\) intersect at point \(M\). The hyperbola \(y= \dfrac {k}{x} (x < 0)\) passes through points \(B\) and \(M\). If the area of the parallelogram \(ABOC\) is \(12\), then \(k=\) ______.",
4241,"Port B is located in the northwest direction of port A. At 8 AM, a ship departs from port A and sails north at 15 nautical miles per hour. Simultaneously, a speedboat departs from port B sailing north. At 10 AM, the ship arrives at point D, and the speedboat arrives at point C. Point C is located in the northwest direction of point D at an angle of 30°, and the distance CD is 100 nautical miles. What is the speed of the speedboat in nautical miles per hour? (Round to 0.1 nautical miles per hour; use √2 ≈ 1.41, √3 ≈ 1.73)",
